bathrooms,floor,price,price_m2,rooms,size,latitude,longitude,floor_was_missing,price_cut
1.0,4.0,226000.0,2897.0,2.0,78.0,40.43040939999999,-3.5578887,False,"(209000.0, 230000.0]"
1.0,0.0,98500.0,1790.0,2.0,55.0,40.4237329,-3.5611868,False,"(93000.0, 110000.0]"
1.0,2.4203319502074687,129000.0,1841.9999999999998,3.0,70.0,40.43073589999999,-3.6350217,True,"(124000.0, 133900.0]"
1.0,2.4203319502074687,220000.0,3098.0000000000005,3.0,71.0,40.384267,-3.6630031,True,"(209000.0, 230000.0]"
1.0,0.0,148000.0,2144.0,2.0,69.0,40.3430374,-3.7089705,False,"(143417.5, 155000.0]"
1.0,2.4203319502074687,300000.0,3448.0,3.0,87.0,40.4018264,-3.6923389,True,"(288800.0, 330000.0]"
1.0,2.4203319502074687,134000.0,1575.9999999999998,3.0,85.0,40.2930236,-3.7857758,True,"(133900.0, 143417.5]"
2.0,2.4203319502074687,450000.0,4090.0,3.0,110.0,40.48866599999999,-3.649591199999999,True,"(380000.0, 450000.0]"
2.0,2.4203319502074687,166990.0,2036.0,2.0,82.0,40.5985993,-3.5000946,True,"(165000.0, 178000.0]"
1.0,0.0,140000.0,4000.0,2.0,35.0,40.4087204,-3.7033913,False,"(133900.0, 143417.5]"
1.0,2.4203319502074687,119900.0,1873.0000000000002,3.0,64.0,40.3785062,-3.727931899999999,True,"(110000.0, 124000.0]"
1.0,2.4203319502074687,212100.0,3030.0,2.0,70.0,40.3721629,-3.6184403,True,"(209000.0, 230000.0]"
2.0,2.0,243000.0,3738.0,3.0,65.0,40.4105988,-3.7026214,False,"(230000.0, 257000.0]"
1.0,7.0,250000.0,2577.0,1.0,97.0,40.37294620000001,-3.7388112,False,"(230000.0, 257000.0]"
2.0,1.0,154000.0,2200.0,3.0,70.0,40.4270222,-3.5362394,False,"(143417.5, 155000.0]"
1.0,9.0,133500.0,1668.0000000000002,3.0,80.0,40.2864475,-3.8058734,False,"(124000.0, 133900.0]"
2.0,7.0,1195000.0,7468.0,3.0,160.0,40.4312768,-3.6769396,False,"(1095000.0, 19220600.0]"
1.0,6.0,159900.0,2050.0,3.0,78.0,40.3359563,-3.7529466,False,"(155000.0, 165000.0]"
2.0,2.0,147900.0,1740.0,2.0,85.0,40.4717686,-3.719269,False,"(143417.5, 155000.0]"
1.0,1.0,139000.0,2044.0,3.0,68.0,40.3792242,-3.7697731,False,"(133900.0, 143417.5]"
1.0,3.0,124500.0,1092.0,3.0,114.0,40.38348209999999,-3.4170301,False,"(124000.0, 133900.0]"
1.0,2.0,144000.0,2057.0,2.0,70.0,40.3887154,-3.664104599999999,False,"(143417.5, 155000.0]"
3.0,4.0,1315000.0,4781.000000000002,5.0,275.0,40.4552066,-3.6797153,False,"(1095000.0, 19220600.0]"
1.0,1.0,92000.0,1194.0,3.0,77.0,40.3768293,-3.6704799,False,"(19999.999, 93000.0]"
2.0,2.4203319502074687,159000.0,1766.0,3.0,90.0,40.3957371,-3.6469752,True,"(155000.0, 165000.0]"
1.0,2.4203319502074687,121000.0,1551.0,3.0,78.0,40.3804203,-3.6489277,True,"(110000.0, 124000.0]"
3.0,1.0,1100000.0,7912.999999999998,3.0,139.0,40.42572089999999,-3.6718503,False,"(1095000.0, 19220600.0]"
2.0,2.4203319502074687,375000.0,3348.0000000000005,4.0,112.0,40.4017395,-3.7029907,True,"(330000.0, 380000.0]"
1.0,0.0,142000.0,2184.0,2.0,65.0,40.4213907,-3.5303489,False,"(133900.0, 143417.5]"
1.0,3.0,148000.0,1973.0,3.0,75.0,40.39504000000001,-3.6645945,False,"(143417.5, 155000.0]"
1.0,2.4203319502074687,155000.0,2583.0,2.0,60.0,40.4338563,-3.6370199,True,"(143417.5, 155000.0]"
1.0,1.0,149000.0,2069.0,3.0,72.0,40.3019799,-3.7306864,False,"(143417.5, 155000.0]"
5.0,2.0,2800000.0,6682.0,6.0,419.0,40.4338618,-3.695287,False,"(1095000.0, 19220600.0]"
1.0,3.0,165000.0,1718.0000000000002,3.0,96.0,40.4862367,-3.3636118,False,"(155000.0, 165000.0]"
2.0,2.4203319502074687,185000.0,1728.0000000000002,3.0,107.0,40.1998986,-3.7976904,True,"(178000.0, 190000.0]"
1.0,2.4203319502074687,130000.0,1428.0000000000002,2.0,91.0,40.4966888,-3.6884676,True,"(124000.0, 133900.0]"
2.0,2.0,208850.0,2295.0,2.0,91.0,40.4591239,-3.4819898,False,"(190000.0, 209000.0]"
1.0,9.0,165000.0,1940.9999999999998,3.0,85.0,40.29678029999999,-3.7926281,False,"(155000.0, 165000.0]"
4.0,2.0,900000.0,3913.0000000000005,5.0,230.0,40.4104322,-3.7970675,False,"(715000.0, 1095000.0]"
2.0,3.0,477000.0,5817.0,2.0,82.0,40.4552066,-3.6797153,False,"(450000.0, 550000.0]"
1.0,1.0,180890.0,3617.0,1.0,50.0,40.4115165,-3.7076445,False,"(178000.0, 190000.0]"
2.0,5.0,760000.0,5629.0,5.0,135.0,40.4354156,-3.714341,False,"(715000.0, 1095000.0]"
1.0,0.0,255000.0,5312.0,1.0,48.0,40.4233716,-3.7077922,False,"(230000.0, 257000.0]"
1.0,2.4203319502074687,110000.0,1341.0,3.0,82.0,40.3676676,-3.750812899999999,True,"(93000.0, 110000.0]"
2.0,4.0,689000.0,5601.0,2.0,123.0,40.417955,-3.714311999999999,False,"(550000.0, 715000.0]"
2.0,1.0,270000.0,2250.0,3.0,120.0,40.3077985,-3.7252301,False,"(257000.0, 288800.0]"
1.0,2.0,138000.0,2059.0,1.0,67.0,40.348189,-3.8267324,False,"(133900.0, 143417.5]"
2.0,2.4203319502074687,175000.0,1483.0,3.0,118.0,40.3824297,-3.658220699999999,True,"(165000.0, 178000.0]"
1.0,3.0,109000.0,1313.0000000000002,3.0,83.0,40.3081695,-3.450776,False,"(93000.0, 110000.0]"
2.0,5.0,660000.0,3510.0,5.0,188.0,40.4338618,-3.695287,False,"(550000.0, 715000.0]"
2.0,2.4203319502074687,145000.0,1479.0,3.0,98.0,40.2302989,-3.5933781,True,"(143417.5, 155000.0]"
1.0,1.0,220000.0,3055.0,3.0,72.0,40.4634331,-3.7010953,False,"(209000.0, 230000.0]"
1.0,2.0,178000.0,2021.9999999999998,3.0,88.0,40.3232129,-3.8676291,False,"(165000.0, 178000.0]"
1.0,2.4203319502074687,85000.0,1700.0,2.0,50.0,40.2312091,-3.9942211,True,"(19999.999, 93000.0]"
3.0,2.4203319502074687,270000.0,1551.0,2.0,174.0,40.46702550000001,-3.704126,True,"(257000.0, 288800.0]"
